,Name,Team
488,dylan windler,Cleveland Cavaliers
489,justise winslow,Portland Trail Blazers
490,james wiseman,Detroit Pistons
491,christian wood,Dallas Mavericks
492,mckinley wright iv,Dallas Mavericks
493,delon wright,Washington Wizards
494,thaddeus young,Toronto Raptors
495,trae young,Atlanta Hawks
496,omer yurtseven,Miami Heat
497,cody zeller,Miami Heat
498,ivica zubac,Los Angeles Clippers
