,Unnamed: 0,id,full_name,Age,FG_PCT,FGA/GP,FG3A/GP,FG3_PCT,REB/GP,AST/GP,STL/GP,PTS/GP,labels,labels_cat
352,352,201580,JaVale McGee,34.0,0.5517619047619048,5.7790462306983486,0.0968251920933643,0.1077619047619047,4.9204538417132655,0.433164024278686,0.3567836633198468,7.436096705955252,1,1
353,353,203585,Rodney McGruder,31.0,0.4292857142857142,4.565249642980736,2.4465827123390147,0.3671428571428571,2.2813349115870123,0.97359876351473,0.4222418571158067,5.204041348474122,3,3
354,354,1630605,JaQuori McLaughlin,24.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.0,2,2
355,355,1629162,Jordan McLaughlin,26.0,0.4384999999999999,4.326059456040481,1.8270556609740671,0.296,1.866777356103732,3.5635515496521197,0.9631720430107528,4.952751423149905,0,0
356,356,203463,Ben McLemore,29.0,0.4041818181818181,7.15480071994873,4.334164574032468,0.3627272727272727,2.078360464739652,0.881802085744667,0.5592412475120391,8.339651317866714,0,0
357,357,1629001,De'Anthony Melton,24.0,0.4306,6.856314717246224,3.237383210396909,0.3611999999999999,3.307194239550404,2.5385324903407094,1.3643674042852123,7.979174569722514,0,0
358,358,1630241,Sam Merrill,26.0,0.3885,3.2,2.7,0.3755,1.0833333333333337,0.6833333333333333,0.1333333333333333,3.566666666666667,3,3
359,359,1629002,Chimezie Metu,25.0,0.429,3.824444444444445,1.0615708812260536,0.1314,2.8204980842911875,0.7563218390804598,0.3891570881226053,4.431724137931035,3,3
360,360,203114,Khris Middleton,30.0,0.4564,12.953460538797003,4.552382508945419,0.39,4.683344709639276,3.644379037823642,1.1768845132991053,16.416209433858892,4,4
362,362,201988,Patty Mills,34.0,0.4283571428571428,7.070320987438168,4.121786752984574,0.3998571428571428,1.5174858663349209,2.0682200923574823,0.5530836699207354,8.521488920213828,0,0
363,363,200794,Paul Millsap,37.0,0.4762222222222222,9.356980303316266,1.5011128859256462,0.2737222222222222,6.487629789154589,2.0134110450992897,1.0946815257762328,12.03324528554482,0,0
364,364,1629003,Shake Milton,26.0,0.3508,5.837914862914863,2.243080808080808,0.2841999999999999,1.9762049062049063,2.018152958152958,0.4056277056277055,6.985014430014429,3,3
365,365,1630558,Davion Mitchell,24.0,0.3755,8.620000000000001,3.5083333333333333,0.249,1.731666666666667,3.3366666666666664,0.4916666666666666,8.24,0,0
366,366,1628378,Donovan Mitchell,26.0,0.4411666666666667,19.947021775795967,7.877777459646912,0.3621666666666667,4.316574356069149,4.990988454543703,1.3905885053487868,24.83234735134953,4,4
367,367,1630596,Evan Mobley,21.0,0.5415,11.014492753623188,1.0416666666666663,0.2915,6.505434782608695,2.135869565217392,1.0307971014492754,14.992753623188406,1,1
368,368,1628370,Malik Monk,24.0,0.4098333333333333,8.794096221944095,4.825031705457085,0.3538333333333334,2.467009964720851,2.4682935112098776,0.588977936400431,10.098071827902396,0,0
369,369,1630541,Moses Moody,20.0,0.3984999999999999,4.259615384615385,2.757692307692308,0.3585,1.7692307692307692,0.4211538461538461,0.2673076923076923,5.1923076923076925,3,3
370,370,202734,E'Twaun Moore,32.0,0.4458999999999999,6.674311491603841,2.240937581573548,0.3783999999999999,1.9279082167463064,1.665230691730912,0.6243276105419115,7.446358785409961,0,0
371,371,1629630,Ja Morant,23.0,0.487,17.556168406089853,3.89706667165426,0.38675,4.491856506938989,7.0503441439419445,0.9320820708487636,24.238919437898225,4,4
372,372,1629752,Juwan Morgan,25.0,0.4756,1.3545155993431854,0.7658456486042693,0.3366,1.6692939244663385,0.4192118226600986,0.0371100164203612,2.0842364532019704,3,3
373,373,202693,Markieff Morris,33.0,0.4338333333333333,8.605370021542592,2.714514287735533,0.3455555555555556,4.638423392537205,1.4258712739941852,0.6800899295478494,9.82542288234955,0,0
